AERONET_Database_Site_List,Num=2,Date_Generated=20:10:2016
Site_Name,Longitude(decimal_degrees),Latitude(decimal_degrees),Elevation(meters)
LOS_FIEROS_98,-60.929000,-14.556000,170.000000
NEW_YORK,-74.000000,40.770000,0.000000
Zambezi,23.107194,-13.533167,1040.000000
Cheritan,-75.971778,37.289478,5.000000
Las_Cardes,-71.257778,-30.250833,240.000000
CUIABA_01,-56.000000,-15.500000,250.000000
Bratts_Lake,-104.700000,50.280000,586.700000
Tombstone,-110.050000,31.742000,1408.000000
CUIABA_02,-56.000000,-15.500000,250.000000
Dalanzadgad,104.419167,43.577222,1470.000000
Ulaangom,92.078183,49.973035,1363.000000
Venise,12.508300,45.313900,10.000000
T1_MAX_MEX,-98.981950,19.703067,2272.000000
Joberg,28.029167,-26.186133,1736.000000
Manaus,-60.038640,-2.599080,93.000000
Windsor_M,-82.870000,42.170000,190.000000
Xanthi,24.918950,41.146767,54.000000
Krasnoyarsk,92.766667,55.983333,202.000000
San_Nicolas,-119.486972,33.256889,133.000000
Sesheke,24.303889,-17.480830,951.000000
Izana,-16.499060,28.309320,2391.000000
Tenerife,-16.633333,28.033333,10.000000
Lunar_Lake,-115.988383,38.390083,1908.000000
Teide,-16.642800,28.272500,3570.000000
Sioux_Falls,-96.625983,43.736283,500.000000
Walker_Branch,-84.287500,35.958333,365.000000
Niabrara,-100.020000,42.764833,730.000000
Egbert,-79.750000,44.225667,264.000000
Ispra,8.626700,45.803050,235.000000
Mainz,8.300000,49.999000,150.000000
Ben_McDhui,27.617500,-30.710833,2450.000000
Brookhaven,-72.889167,40.870000,33.000000
Saturn_Island,-123.133000,48.783000,200.000000
Latoya,23.299883,-15.678133,1064.000000
Kaashidhoo,73.466000,4.965000,0.000000
Surinam,-55.200000,5.800000,0.000000
Oyster,-75.933192,37.295044,8.700000
NCU_Taiwan,121.191667,24.966667,171.000000
Ilorin,4.340000,8.320000,350.000000
Concepcion,-62.028000,-16.138167,500.000000
Dongsha_Island,116.728833,20.698556,5.000000
Rogers_Lake,-117.830000,34.970000,0.000000
Chao_Jou,120.529167,22.513056,0.000000
Arica,-70.313333,-18.471667,25.000000
Tinga_Tingana,139.990933,-28.975833,38.000000
Monclova,-101.470000,25.950000,600.000000
Aguascalientes,-102.320000,21.700000,2000.000000
MCO-Hanimaadhoo,73.183183,6.776350,0.000000
NASA_LaRC,-76.378640,37.104960,5.000000
Pickle_Lake,-90.217500,51.449444,393.000000
IMAA_Potenza,15.720000,40.600000,820.000000
Andros_Island,-77.800000,24.700000,0.000000
Kejimkujik,-65.283300,44.383333,154.500000
Lydenburg,30.766666,-24.566666,1186.000000
Skukuza,31.587500,-24.991700,150.000000
Bahrain,50.609267,26.208050,25.000000
Table_Mountain,-105.237000,40.125000,1689.000000
TABLE_MOUNTAIN_CA,-117.680000,34.380000,2200.000000
Howland,-68.733333,45.200000,100.000000
Chequamegon,-90.250000,45.933333,0.000000
USDA,-76.879997,39.029999,50.000000
Honolulu,-157.886100,21.317200,0.000000
St_John_Island,-64.730000,18.320000,0.000000
Barnaul,83.772222,53.341667,202.000000
Bethlehem,28.333333,-28.248333,1709.000000
Solar_Village,46.397286,24.906933,764.000000
Abracos_Hill,-62.358333,-10.760000,200.000000
EOPACE1,-75.750750,36.182167,0.000000
EOPACE2,-75.744717,36.183583,0.000000
Mexico_City,-99.181667,19.333611,2268.000000
Carlsbad,-104.233167,32.368833,942.000000
Buena_Vista,-119.260000,35.220000,0.000000
Rimrock,-116.991667,46.487500,824.000000
Chinhae,128.652433,35.155800,69.000000
Albuquerque,-106.535836,35.051672,1645.000000
Kolimbari,23.783333,35.533333,0.000000
Helgoland,7.887361,54.177861,33.000000
Tahoe_City,-120.135000,39.173300,1899.000000
