,Facility Name,orispl_code,Gross Load (MW-h),EPA Region,latitude,longitude,State,County,timezone,time_offset
346,Smarr Energy Facility,7829,132778.25,4,32.9856,-83.8464,GA,Monroe,America/New_York,5.0
347,Sowega Power Project,7768,118678.49,4,31.3869,-84.0814,GA,Mitchell,America/New_York,5.0
348,Talbot Energy Facility,7916,381367.12,4,32.5892,-84.6917,GA,Talbot,America/New_York,5.0
349,Tenaska Georgia Generating Station,55061,347406.75,4,33.3516,-84.9996,GA,Heard,America/New_York,5.0
350,Thomas A. Smith Energy Facility,55382,4172274.5,4,34.7094,-84.9182,GA,Murray,America/New_York,5.0
351,Walton Bainbridge Power Facility,56015,166.12,4,30.9111,-84.5472,GA,Decatur,America/New_York,5.0
352,Walton County Power,55128,400961.07,4,33.8147,-83.6969,GA,Walton,America/New_York,5.0
353,Wansley (6052),6052,5395200.57,4,33.4124,-85.0345,GA,Heard,America/New_York,5.0
354,Wansley (7946),7946,1278942.0,4,33.4082,-85.0399,GA,Heard,America/New_York,5.0
355,Wansley CC (55965),55965,6946949.0,4,33.4063,-85.0373,GA,Heard,America/New_York,5.0
356,Washington County Power,55332,281955.73,4,33.0917,-82.9803,GA,Washington,America/New_York,5.0
357,Yates,728,2589660.25,4,33.4622,-84.8986,GA,Coweta,America/New_York,5.0
358,Ames,1122,361097.0,7,42.0247,-93.6069,IA,Story,America/Chicago,6.0
359,Burlington (IA),1104,1250978.05,7,40.7412,-91.1168,IA,Des Moines,America/Chicago,6.0
360,Centerville,1105,2843.0,7,40.7478,-92.8731,IA,Appanoose,America/Chicago,6.0
361,Dayton Avenue Substation,6463,453.0,7,42.0269,-93.5828,IA,Story,America/Chicago,6.0
362,Dubuque,1046,92732.13,7,42.506,-90.6527,IA,Dubuque,America/Chicago,6.0
363,Earl F Wisdom,1217,12517.17,7,43.1606,-95.2569,IA,Clay,America/Chicago,6.0
364,Electrifarm,6063,37745.0,7,42.4407,-92.4205,IA,Black Hawk,America/Chicago,6.0
365,Emery Station,8031,901612.39,7,43.093999999999994,-93.2922,IA,Cerro Gordo,America/Chicago,6.0
366,Exira Station,56013,46424.59,7,41.5131,-94.9189,IA,Audubon,America/Chicago,6.0
367,Fair Station,1218,87896.59,7,41.4569,-90.8233,IA,Muscatine,America/Chicago,6.0
368,George Neal North,1091,4491477.25,7,42.3251,-96.3797,IA,Woodbury,America/Chicago,6.0
369,George Neal South,7343,4620111.0,7,42.3022,-96.3622,IA,Woodbury,America/Chicago,6.0
370,Greater Des Moines Energy Center,7985,361220.85,7,41.5563,-93.5283,IA,Polk,America/Chicago,6.0
371,Grinnell,7137,1912.0,7,41.7529,-92.7488,IA,Poweshiek,America/Chicago,6.0
372,Lansing,1047,1241001.41,7,43.3359,-91.1672,IA,Allamakee,America/Chicago,6.0
373,Lime Creek,7155,1819.69,7,43.2481,-93.2046,IA,Cerro Gordo,America/Chicago,6.0
374,Louisa,6664,5539061.1,7,41.3153,-91.0936,IA,Louisa,America/Chicago,6.0
375,Marshalltown CTs,1068,30778.51,7,42.0474,-92.8594,IA,Marshall,America/Chicago,6.0
376,Milton L Kapp,1048,610467.15,7,41.8081,-90.2345,IA,Clinton,America/Chicago,6.0
377,Muscatine,1167,977664.61,7,41.3917,-91.0569,IA,Muscatine,America/Chicago,6.0
378,Ottumwa,6254,3130607.0,7,41.0961,-92.5556,IA,Wapello,America/Chicago,6.0
379,Pella,1175,,7,41.3981,-92.9144,IA,Marion,America/Chicago,6.0
380,Pleasant Hill Energy Center,7145,30761.46,7,41.5572,-93.5242,IA,Polk,America/Chicago,6.0
381,Prairie Creek,1073,,7,41.9439,-91.6386,IA,Linn,America/Chicago,6.0
382,Riverside (1081),1081,663012.3,7,41.5404,-90.4483,IA,Scott,America/Chicago,6.0
383,Streeter Station,1131,11929.45,7,42.5267,-92.4394,IA,Black Hawk,America/Chicago,6.0
384,Summit Lake,1206,22280.42,7,41.1141,-94.3499,IA,Union,America/Chicago,6.0
385,Sutherland,1077,,7,42.0472,-92.8627,IA,Marshall,America/Chicago,6.0
386,Sycamore Combustion Turbine,8029,10738.89,7,41.6722,-93.6769,IA,Polk,America/Chicago,6.0
387,Walter Scott Jr. Energy Center,1082,12329624.0,7,41.18,-95.8408,IA,Pottawattamie,America/Chicago,6.0
388,Bennett Mountain Power Project,55733,54858.12,10,43.147,-115.6671,ID,Elmore,America/Boise,7.0
389,Evander Andrews Power Complex,7953,74272.65,10,43.1794,-115.7328,ID,Elmore,America/Boise,7.0
390,Langley Gulch Power Plant,57028,496841.43,10,43.9046,-116.8181,ID,Payette,America/Boise,7.0
391,Rathdrum Combustion Turbine Project,7456,7779.17,10,47.8034,-116.869,ID,Kootenai,America/Los_Angeles,8.0
392,"Rathdrum Power, LLC",55179,1233616.12,10,47.7861,-116.9214,ID,Kootenai,America/Los_Angeles,8.0
393,Alsey Station,7818,6138.1,5,39.5697,-90.4362,IL,Scott,America/Chicago,6.0
394,Archer Daniels Midland Co.,10865,,5,39.8675,-88.885,IL,Macon,America/Chicago,6.0
395,Archer Daniels Midland Co. - Peoria,10866,,5,40.6776,-89.6069,IL,Peoria,America/Chicago,6.0
396,Aurora,55279,85092.99,5,41.8151,-88.2265,IL,DuPage,America/Chicago,6.0
397,Baldwin Energy Complex,889,13240315.32,5,38.205,-89.855,IL,Randolph,America/Chicago,6.0
398,"Calumet Energy Team, LLC",55296,53911.07,5,41.6835,-87.5563,IL,Cook,America/Chicago,6.0
399,Coffeen,861,5565493.81,5,39.0586,-89.4031,IL,Montgomery,America/Chicago,6.0
400,Cordova Energy Company,55188,4715.53,5,41.7146,-90.2802,IL,Rock Island,America/Chicago,6.0
401,Crawford,867,1390640.25,5,41.8278,-87.7236,IL,Cook,America/Chicago,6.0
402,Crete Energy Park,55253,29710.63,5,41.4297,-87.6187,IL,Will,America/Chicago,6.0
403,Dallman,963,2289007.3,5,39.7539,-89.6011,IL,Sangamon,America/Chicago,6.0
404,Duck Creek,6016,3075539.42,5,40.4663,-89.9841,IL,Fulton,America/Chicago,6.0
405,"Dynegy Lee II, LLC",55236,106898.4,5,41.8287,-89.4054,IL,Lee,America/Chicago,6.0
406,E D Edwards,856,4594203.61,5,40.5958,-89.6631,IL,Peoria,America/Chicago,6.0
407,"Elgin Energy Center, LLC",55438,118370.21,5,41.9997,-88.2445,IL,Cook,America/Chicago,6.0
408,Elwood Energy Facility,55199,820959.78,5,41.4388,-88.1236,IL,Will,America/Chicago,6.0
409,Exxonmobil Oil Corporation,50627,49138.0,5,41.4167,-88.1833,IL,Will,America/Chicago,6.0
410,Factory Gas Turbine,8016,775.0,5,39.8266,-89.6368,IL,Sangamon,America/Chicago,6.0
411,Fisk,886,970177.0,5,41.8508,-87.6533,IL,Cook,America/Chicago,6.0
412,"Flint Hills Resources, - Joliet Plant",880089,,5,41.4417,-88.1728,IL,Will,America/Chicago,6.0
413,Freedom Power Project,7842,5802.49,5,39.1025,-88.8589,IL,Fayette,America/Chicago,6.0
414,"Gibson City Energy Center, LLC",55201,67651.09,5,40.4705,-88.3987,IL,Ford,America/Chicago,6.0
415,Goose Creek Power Plant,55496,65059.85,5,40.1083,-88.5986,IL,Piatt,America/Chicago,6.0
416,"Grand Tower Energy Center, LLC",862,1301987.51,5,37.6578,-89.5119,IL,Jackson,America/Chicago,6.0
417,Havana,891,3023729.33,5,40.2797,-90.0775,IL,Mason,America/Chicago,6.0
418,Hennepin Power Station,892,2323325.68,5,41.3017,-89.3136,IL,Putnam,America/Chicago,6.0
419,Holland Energy Facility,55334,1089732.55,5,39.2242,-88.7594,IL,Shelby,America/Chicago,6.0
420,Ingredion Incorporated Argo Plant,54556,,5,41.7775,-87.8233,IL,Cook,America/Chicago,6.0
421,Interstate,7425,7629.01,5,39.8233,-89.5888,IL,Sangamon,America/Chicago,6.0
422,Joliet 29,384,5439094.25,5,41.4947,-88.125,IL,Will,America/Chicago,6.0
423,Joliet 9,874,1104453.0,5,41.4947,-88.125,IL,Will,America/Chicago,6.0
