,Facility Name,orispl_code,Gross Load (MW-h),EPA Region,latitude,longitude,State,County,timezone,time_offset
538,Paddy's Run,1366,57358.26,4,38.2147,-85.8453,KY,Jefferson,America/Kentucky/Louisville,5.0
539,Paducah Power Systems Plant 1,56556,8109.37,4,37.0339,-88.6161,KY,McCracken,America/Chicago,6.0
540,Paradise,1378,15967981.44,4,37.2608,-86.9783,KY,Muhlenberg,America/Chicago,6.0
541,R D Green,6639,3216402.25,4,37.6467,-87.5006,KY,Webster,America/Chicago,6.0
542,Riverside Generating Company,55198,240956.03,4,38.1933,-82.6042,KY,Lawrence,America/New_York,5.0
543,Robert Reid,1383,36058.0,4,37.6467,-87.5033,KY,Webster,America/Chicago,6.0
544,Shawnee,1379,7605134.7,4,37.1517,-88.775,KY,McCracken,America/Chicago,6.0
545,Smith Generating Facility,54,922918.02,4,37.8824,-84.1025,KY,Clark,America/New_York,5.0
546,Trimble County,6071,8893304.77,4,38.5847,-85.4117,KY,Trimble,America/New_York,5.0
547,Tyrone,1361,,4,38.0478,-84.8483,KY,Woodford,America/New_York,5.0
548,Wickliffe Paper Company,880065,,4,36.9461,-89.0792,KY,Ballard,America/Chicago,6.0
549,William C. Dale,1385,265033.91,4,37.8807,-84.2634,KY,Clark,America/New_York,5.0
550,Acadia Power Station,55173,4913778.37,6,30.4284,-92.4112,LA,Acadia,America/Chicago,6.0
551,Arsenal Hill Power Plant,1416,2352082.17,6,32.5181,-93.7611,LA,Caddo,America/Chicago,6.0
552,Bayou Cove Peaking Power Plant,55433,129739.56,6,30.2825,-92.5994,LA,Acadia,America/Chicago,6.0
553,Big Cajun 1,1464,106480.01,6,30.6736,-91.3525,LA,Pointe Coupee,America/Chicago,6.0
554,Big Cajun 2,6055,10918503.47,6,30.7261,-91.3669,LA,Pointe Coupee,America/Chicago,6.0
555,Brame Energy Center,6190,5869725.49,6,31.395,-92.7167,LA,Rapides,America/Chicago,6.0
556,Calcasieu Plant,55165,257140.82,6,30.1603,-93.3458,LA,Calcasieu,America/Chicago,6.0
557,Carville Energy Center,55404,3125926.39,6,30.2292,-91.065,LA,Iberville,America/Chicago,6.0
558,Coughlin Power Station,1396,1467072.98,6,30.8442,-92.2606,LA,Evangeline,America/Chicago,6.0
559,D G Hunter,6558,2165.05,6,31.320999999999998,-92.4626,LA,Rapides,America/Chicago,6.0
560,Doc Bonin,1443,374018.71,6,30.2368,-92.0476,LA,Lafayette,America/Chicago,6.0
561,Dolet Hills Power Station,51,4991767.84,6,32.0306,-93.5692,LA,De Soto,America/Chicago,6.0
562,Hargis-Hebert Electric Generating Statio,56283,21992.86,6,30.1694,-91.9923,LA,Lafayette,America/Chicago,6.0
563,Houma,1439,44049.79,6,29.5808,-90.7222,LA,Terrebonne,America/Chicago,6.0
564,Lieberman Power Plant,1417,100683.88,6,32.7047,-93.9597,LA,Caddo,America/Chicago,6.0
565,Little Gypsy,1402,1999979.21,6,30.0033,-90.4611,LA,Saint Charles,America/Chicago,6.0
566,Louisiana 1,1391,2797395.73,6,30.4903,-91.1875,LA,East Baton Rouge,America/Chicago,6.0
567,Michoud,1409,2436790.8,6,30.0081,-89.9372,LA,Orleans,America/Chicago,6.0
568,Morgan City Electrical Gen Facility,1449,59462.59,6,29.6916,-91.1887,LA,Saint Mary,America/Chicago,6.0
569,Nelson Industrial Steam Company,50030,,6,30.2861,-93.2917,LA,Calcasieu,America/Chicago,6.0
570,Ninemile Point,1403,4214771.87,6,29.9472,-90.1458,LA,Jefferson,America/Chicago,6.0
571,Ouachita Plant,55467,1643643.53,6,32.7056,-92.0697,LA,Ouachita,America/Chicago,6.0
572,Perryville Power Station,55620,2119428.38,6,32.6914,-92.0192,LA,Ouachita,America/Chicago,6.0
573,Plaquemine Cogen Facility,55419,9907416.19,6,30.3215,-91.2392,LA,Iberville,America/Chicago,6.0
574,R S Cogen LLC,55117,3029469.92,6,30.221,-93.2826,LA,Calcasieu,America/Chicago,6.0
575,R S Nelson,1393,4866746.47,6,30.2861,-93.2917,LA,Calcasieu,America/Chicago,6.0
576,Sterlington,1404,6665.29,6,32.7047,-92.0792,LA,Ouachita,America/Chicago,6.0
577,T J Labbe Electric Generating Station,56108,50909.1,6,30.2554,-92.0433,LA,Lafayette,America/Chicago,6.0
578,Taft Cogeneration Facility,55089,3520350.48,6,29.9861,-90.4575,LA,Saint Charles,America/Chicago,6.0
579,Teche Power Station,1400,982264.19,6,29.8223,-91.5427,LA,Saint Mary,America/Chicago,6.0
580,Waterford 1 & 2,8056,762695.78,6,29.9994,-90.4758,LA,Saint Charles,America/Chicago,6.0
581,Willow Glen,1394,1597143.46,6,30.2743,-91.1164,LA,Iberville,America/Chicago,6.0
582,"ANP Bellingham Energy Company, LLC",55211,1179172.37,1,42.1113,-71.4529,MA,Norfolk,America/New_York,5.0
583,"ANP Blackstone Energy Company, LLC",55212,1410490.57,1,42.0575,-71.5172,MA,Worcester,America/New_York,5.0
584,Bellingham,10307,289257.02,1,42.0925,-71.4833,MA,Norfolk,America/New_York,5.0
585,Berkshire Power,55041,781950.09,1,42.0476,-72.6478,MA,Hampden,America/New_York,5.0
586,Blackstone,1594,,1,42.3636,-71.1161,MA,Middlesex,America/New_York,5.0
587,Brayton Point,1619,2193851.25,1,41.7125,-71.1914,MA,Bristol,America/New_York,5.0
588,Canal Station,1599,45999.65,1,41.7694,-70.5097,MA,Barnstable,America/New_York,5.0
589,Cleary Flood,1682,88262.84,1,41.8653,-71.1061,MA,Bristol,America/New_York,5.0
590,Dartmouth Power,52026,146443.18,1,41.6728,-70.9989,MA,Bristol,America/New_York,5.0
591,Deer Island Treatment,10823,2117.48,1,42.3497,-70.9601,MA,Suffolk,America/New_York,5.0
592,Dighton,55026,664585.47,1,41.8312,-71.1239,MA,Bristol,America/New_York,5.0
593,Doreen,1631,168.85,1,42.4431,-73.2061,MA,Berkshire,America/New_York,5.0
594,Exelon L Street Generating Station,1587,50.93,1,42.3406,-71.035,MA,Suffolk,America/New_York,5.0
595,Fore River Energy Center,55317,4133788.93,1,42.2417,-70.9653,MA,Norfolk,America/New_York,5.0
596,Framingham Station,1586,124.85,1,42.2672,-71.3983,MA,Middlesex,America/New_York,5.0
597,General Electric Aircraft,10029,,1,42.45,-70.9739,MA,Essex,America/New_York,5.0
598,Kendall Green Energy LLC,1595,1776295.77,1,42.3633,-71.0792,MA,Middlesex,America/New_York,5.0
599,Kneeland Station,880023,,1,42.35,-71.0583,MA,Suffolk,America/New_York,5.0
600,Lowell Cogeneration Company,10802,3916.66,1,42.64,-71.32300000000001,MA,Middlesex,America/New_York,5.0
601,MASSPOWER,10726,620912.75,1,42.156000000000006,-72.5292,MA,Hampden,America/New_York,5.0
602,MIT Central Utility Plant,54907,268837.39,1,42.3611,-71.0934,MA,Middlesex,America/New_York,5.0
603,Medway Station,1592,1026.65,1,42.1364,-71.4478,MA,Norfolk,America/New_York,5.0
604,"Milford Power, LLC",54805,288718.25,1,42.1292,-71.5122,MA,Worcester,America/New_York,5.0
605,Millennium Power Partners,55079,1359151.53,1,42.1127,-72.0152,MA,Worcester,America/New_York,5.0
606,Mount Tom,1606,121786.0,1,42.2814,-72.6053,MA,Hampden,America/New_York,5.0
607,Mystic,1588,8820680.14,1,42.3917,-71.0667,MA,Middlesex,America/New_York,5.0
608,Pittsfield Generating,50002,208845.89,1,42.4564,-73.2181,MA,Berkshire,America/New_York,5.0
609,Potter,1660,68961.91,1,42.235,-70.9672,MA,Norfolk,America/New_York,5.0
610,Salem Harbor Station,1626,276564.46,1,42.5267,-70.8792,MA,Essex,America/New_York,5.0
611,South Boston Combustion Turbines,10176,784.14,1,42.3414,-71.0311,MA,Suffolk,America/New_York,5.0
612,Stony Brook,6081,93567.0,1,42.1977,-72.5103,MA,Hampden,America/New_York,5.0
613,"Tanner Street Generation, LLC",54586,155126.87,1,42.6308,-71.3133,MA,Middlesex,America/New_York,5.0
614,Waters River,1678,12695.0,1,42.5428,-70.9236,MA,Essex,America/New_York,5.0
615,West Springfield,1642,99845.85,1,42.0956,-72.5958,MA,Hampden,America/New_York,5.0
616,Woodland Road,1643,111.72,1,42.3362,-73.2352,MA,Berkshire,America/New_York,5.0
617,AES Warrior Run,10678,1322780.08,3,39.5944,-78.7456,MD,Allegany,America/New_York,5.0
618,Brandon Shores,602,5266370.81,3,39.1792,-76.5383,MD,Anne Arundel,America/New_York,5.0
619,Brandywine Power Facility,54832,703113.25,3,38.6681,-76.8678,MD,Prince George's,America/New_York,5.0
620,C P Crane,1552,792002.46,3,39.3269,-76.365,MD,Baltimore,America/New_York,5.0
621,Chalk Point,1571,5005395.34,3,38.5444,-76.6861,MD,Prince George's,America/New_York,5.0
622,Dickerson,1572,1307961.83,3,39.2086,-77.4644,MD,Montgomery,America/New_York,5.0
623,Gould Street,1553,43025.82,3,39.2661,-76.6042,MD,Baltimore (City),America/New_York,5.0
624,Herbert A Wagner,1554,1314698.94,3,39.1781,-76.5268,MD,Anne Arundel,America/New_York,5.0
625,Luke Paper Company,50282,,3,39.4722,-79.0575,MD,Allegany,America/New_York,5.0
626,Morgantown,1573,5632484.15,3,38.3592,-76.9767,MD,Charles,America/New_York,5.0
627,Perryman,1556,100978.16,3,39.4422,-76.2208,MD,Harford,America/New_York,5.0
628,R. Paul Smith Power Station,1570,90572.82,3,39.595,-77.8269,MD,Washington,America/New_York,5.0
629,Riverside,1559,26427.48,3,39.2369,-76.5133,MD,Baltimore,America/New_York,5.0
630,Rock Springs Generating Facility,7835,401200.04,3,39.7183,-76.1606,MD,Cecil,America/New_York,5.0
631,Severstal Sparrows Point LLC,10485,,3,39.2135,-76.4727,MD,Baltimore,America/New_York,5.0
632,Vienna,1564,4553.5,3,38.4878,-75.8208,MD,Dorchester,America/New_York,5.0
633,Westport,1560,8861.37,3,39.2719,-76.6186,MD,Baltimore (City),America/New_York,5.0
634,Androscoggin Energy,55031,496983.38,1,44.5047,-70.2403,ME,Franklin,America/New_York,5.0
635,Bucksport Generation LLC,50243,1399564.25,1,44.5739,-68.8033,ME,Hancock,America/New_York,5.0
636,Maine Independence Station,55068,767401.57,1,44.8236,-68.7106,ME,Penobscot,America/New_York,5.0
637,Rumford Power,55100,380483.68,1,44.5303,-70.5219,ME,Oxford,America/New_York,5.0
638,Westbrook Energy Center,55294,2587682.35,1,43.6576,-70.3772,ME,Cumberland,America/New_York,5.0
639,William F Wyman,1507,75870.07,1,43.75,-70.1569,ME,Cumberland,America/New_York,5.0
640,48th Street Peaking Station,7258,49278.97,5,42.7553,-86.0853,MI,Allegan,America/Detroit,5.0
641,B C Cobb,1695,1706358.08,5,43.2542,-86.2417,MI,Muskegon,America/Detroit,5.0
642,Belle River,6034,8077599.34,5,42.7748,-82.4945,MI,Saint Clair,America/Detroit,5.0
643,Cadillac Renewable Energy,54415,156750.05,5,44.2634,-85.4348,MI,Wexford,America/Detroit,5.0
644,Conners Creek,1726,,5,42.3597,-82.9611,MI,Wayne,America/Detroit,5.0
645,DTE East China,55718,124530.03,5,42.773999999999994,-82.4818,MI,Saint Clair,America/Detroit,5.0
646,DTE Pontiac North LLC,10111,,5,42.6603,-83.2983,MI,Oakland,America/Detroit,5.0
647,Dan E Karn,1702,2422772.99,5,43.6425,-83.8431,MI,Bay,America/Detroit,5.0
648,Dearborn Industrial Generation,55088,1947724.25,5,42.3026,-83.154,MI,Wayne,America/Detroit,5.0
649,Delray,1728,46562.9,5,42.2947,-83.1019,MI,Wayne,America/Detroit,5.0
650,Eckert Station,1831,997548.53,5,42.7183,-84.5586,MI,Ingham,America/Detroit,5.0
651,Endicott Generating,4259,267670.79,5,42.0317,-84.755,MI,Hillsdale,America/Detroit,5.0
652,Erickson,1832,750098.52,5,42.6919,-84.6572,MI,Eaton,America/Detroit,5.0
653,Genesee Power Station,54751,99120.0,5,43.0841,-83.6743,MI,Genesee,America/Detroit,5.0
654,"Graphic Packaging International, Inc.",10698,,5,42.3049,-85.5783,MI,Kalamazoo,America/Detroit,5.0
655,Grayling Generating Station,10822,,5,44.6062,-84.6901,MI,Crawford,America/Detroit,5.0
656,Greenwood,6035,786506.14,5,43.1056,-82.6964,MI,Saint Clair,America/Detroit,5.0
657,Hancock Peakers,1730,1914.22,5,42.5497,-83.4425,MI,Oakland,America/Detroit,5.0
658,Harbor Beach,1731,87962.22,5,43.8519,-82.6436,MI,Huron,America/Detroit,5.0
659,J B Sims,1825,281245.1,5,43.0722,-86.2342,MI,Ottawa,America/Detroit,5.0
660,J C Weadock,1720,1707800.97,5,43.6425,-83.8431,MI,Bay,America/Detroit,5.0
661,J H Campbell,1710,8274454.55,5,42.9103,-86.2036,MI,Ottawa,America/Detroit,5.0
662,J R Whiting,1723,1452654.94,5,41.7917,-83.4486,MI,Monroe,America/Detroit,5.0
663,Jackson Generating Station,55270,1742592.34,5,42.2488,-84.3767,MI,Jackson,America/Detroit,5.0
664,James De Young,1830,11573.03,5,42.7956,-86.1133,MI,Ottawa,America/Detroit,5.0
665,Kalamazoo River Generating Station,55101,7129.38,5,42.2797,-85.4922,MI,Kalamazoo,America/Detroit,5.0
666,Kalkaska CT Project #1,7984,45658.19,5,44.6889,-85.2019,MI,Kalkaska,America/Detroit,5.0
667,Livingston Generating Station,55102,16426.54,5,45.0291,-84.7332,MI,Otsego,America/Detroit,5.0
668,Michigan Power Limited Partnership,54915,1019458.46,5,43.94,-86.4247,MI,Mason,America/Detroit,5.0
669,Midland Cogeneration Venture,10745,5128394.75,5,43.5861,-84.2242,MI,Midland,America/Detroit,5.0
670,Mistersky,1822,225.7,5,42.3038,-83.0904,MI,Wayne,America/Detroit,5.0
671,Monroe,1733,16668343.9,5,41.8917,-83.3461,MI,Monroe,America/Detroit,5.0
672,New Covert Generating Project,55297,4164736.53,5,42.3231,-86.2925,MI,Van Buren,America/Detroit,5.0
673,"Otsego Paper, Inc.",55799,32833.25,5,42.4641,-85.6941,MI,Allegan,America/Detroit,5.0
674,Presque Isle,1769,2120770.95,5,46.5789,-87.395,MI,Marquette,America/Detroit,5.0
675,Renaissance Power,55402,524929.89,5,43.1864,-84.8429,MI,Montcalm,America/Detroit,5.0
676,River Rouge,1740,,5,42.2733,-83.1131,MI,Wayne,America/Detroit,5.0
677,Shiras,1843,297728.0,5,46.5314,-87.3917,MI,Marquette,America/Detroit,5.0
678,St. Clair,1743,5985025.71,5,42.7642,-82.4719,MI,Saint Clair,America/Detroit,5.0
679,Sumpter Plant,7972,109611.61,5,42.167,-83.5318,MI,Wayne,America/Detroit,5.0
680,T B Simon Power Plant,10328,,5,42.7178,-84.4836,MI,Ingham,America/Detroit,5.0
681,TES Filer City Station,50835,,5,44.217,-86.2906,MI,Manistee,America/Detroit,5.0
682,The Dow Chemical Company,880031,,5,43.6025,-84.2404,MI,Midland,America/Detroit,5.0
683,Thetford,1719,597.0,5,43.1568,-83.6285,MI,Genesee,America/Detroit,5.0
684,Trenton Channel,1745,,5,42.1236,-83.1811,MI,Wayne,America/Detroit,5.0
685,University of Michigan,880045,,5,42.2808,-83.7342,MI,Washtenaw,America/Detroit,5.0
686,Wyandotte,1866,,5,42.2081,-83.1453,MI,Wayne,America/Detroit,5.0
687,Zeeland Generating Station,55087,2091978.28,5,42.82,-85.9988,MI,Ottawa,America/Detroit,5.0
688,Allen S King,1915,3681980.19,5,45.03,-92.7786,MN,Washington,America/Chicago,6.0
689,Benson Power Biomass Plant,55867,490006.31,5,45.2996,-95.5604,MN,Swift,America/Chicago,6.0
690,Black Dog,1904,1501998.64,5,44.8108,-93.2501,MN,Dakota,America/Chicago,6.0
691,Blue Lake Generating Plant,8027,248759.14,5,44.7855,-93.4315,MN,Scott,America/Chicago,6.0
692,Boswell Energy Center,1893,7910109.36,5,47.2603,-93.6531,MN,Itasca,America/Chicago,6.0
693,Cambridge Station,2038,89659.17,5,45.601000000000006,-93.2081,MN,Isanti,America/Chicago,6.0
694,Cannon Falls Energy Center,56241,122519.89,5,44.5364,-92.9147,MN,Goodhue,America/Chicago,6.0
695,Cascade Creek,6058,16770.73,5,44.0322,-92.4908,MN,Olmsted,America/Chicago,6.0
696,Cottage Grove Cogeneration,55010,615004.75,5,44.7956,-92.9119,MN,Washington,America/Chicago,6.0
697,Elk River,2039,106660.23,5,45.2958,-93.5542,MN,Sherburne,America/Chicago,6.0
698,Faribault Energy Park,56164,788497.77,5,44.3353,-93.2894,MN,Rice,America/Chicago,6.0
699,Fox Lake,1888,22243.98,5,43.6728,-94.7074,MN,Martin,America/Chicago,6.0
700,Hibbard Energy Center,1897,,5,46.7356,-92.1531,MN,Saint Louis,America/Chicago,6.0
701,High Bridge,1912,1891726.68,5,44.9331,-93.1075,MN,Ramsey,America/Chicago,6.0
702,Hoot Lake,1943,692951.75,5,46.29,-96.0428,MN,Otter Tail,America/Chicago,6.0
703,Hutchinson - Plant 2,6358,19001.0,5,44.8889,-94.35,MN,McLeod,America/Chicago,6.0
704,Lakefield Junction Generating,7925,153248.77,5,43.7984,-94.8415,MN,Martin,America/Chicago,6.0
705,Laskin Energy Center,1891,412255.83,5,47.5306,-92.1619,MN,Saint Louis,America/Chicago,6.0
706,Mankato Energy Center,56104,521640.96,5,44.1965,-94.0099,MN,Blue Earth,America/Chicago,6.0
707,Minnesota River Station,7844,6140.11,5,44.795,-93.5808,MN,Carver,America/Chicago,6.0
708,Northeast Station,1961,10746.71,5,43.7014,-92.9626,MN,Mower,America/Chicago,6.0
709,Pleasant Valley Station,7843,172837.07,5,43.7997,-92.6819,MN,Mower,America/Chicago,6.0
710,Riverside (1927),1927,1986141.92,5,45.0203,-93.2753,MN,Hennepin,America/Chicago,6.0
711,Sherburne County,6090,8976017.76,5,45.3792,-93.8958,MN,Sherburne,America/Chicago,6.0
712,Silver Lake,2008,7392.28,5,44.0281,-92.4597,MN,Olmsted,America/Chicago,6.0
713,Solway Plant,7947,55013.75,5,47.5444,-95.1297,MN,Beltrami,America/Chicago,6.0
714,Taconite Harbor Energy Center,10075,949021.32,5,47.5314,-90.9111,MN,Cook,America/Chicago,6.0
715,Asbury,2076,1279415.34,7,37.3596,-94.5913,MO,Jasper,America/Chicago,6.0
716,Audrain Power Plant,55234,66615.42,7,39.3092,-91.5369,MO,Audrain,America/Chicago,6.0
717,Blue Valley,2132,39148.93,7,39.0919,-94.3261,MO,Jackson,America/Chicago,6.0
718,Chamois Power Plant,2169,305321.1,7,38.6853,-91.7556,MO,Osage,America/Chicago,6.0
719,Chillicothe,2122,408.0,7,39.784,-93.56200000000001,MO,Livingston,America/Chicago,6.0
720,Columbia,2123,,7,38.9658,-92.3175,MO,Boone,America/Chicago,6.0
721,Columbia Energy Center (MO),55447,12020.36,7,39.0183,-92.2633,MO,Boone,America/Chicago,6.0
722,Dogwood Energy Facility,55178,1581896.5,7,38.7931,-94.3006,MO,Cass,America/Chicago,6.0
723,Empire District Elec Co Energy Ctr,6223,78557.95,7,37.1385,-94.1041,MO,Jasper,America/Chicago,6.0
724,Essex Power Plant,7749,30194.44,7,36.8678,-89.8397,MO,Stoddard,America/Chicago,6.0
725,Fairgrounds,2082,1039.41,7,38.5935,-92.2203,MO,Cole,America/Chicago,6.0
726,Greenwood Energy Center,6074,10652.53,7,38.8615,-94.2982,MO,Jackson,America/Chicago,6.0
727,Hawthorn,2079,4145795.61,7,39.1306,-94.4778,MO,Jackson,America/Chicago,6.0
728,Higginsville Municipal Power Plant,2131,3506.13,7,39.0721,-93.721,MO,Lafayette,America/Chicago,6.0
729,Holden Power Plant,7848,117928.06,7,38.7538,-93.9983,MO,Johnson,America/Chicago,6.0
730,Howard Bend,2102,90.38,7,38.6818,-90.5403,MO,Saint Louis,America/Chicago,6.0
731,Iatan,6065,12581106.96,7,39.4472,-94.98,MO,Platte,America/Chicago,6.0
732,James River,2161,742467.99,7,37.1086,-93.2592,MO,Greene,America/Chicago,6.0
733,John Twitty Energy Center,6195,2197445.17,7,37.1519,-93.3892,MO,Greene,America/Chicago,6.0
734,Labadie,2103,16164542.95,7,38.5583,-90.8361,MO,Franklin,America/Chicago,6.0
735,Lake Road,2098,416696.63,7,39.7246,-94.8773,MO,Buchanan,America/Chicago,6.0
736,McCartney Generating Station,7903,54068.23,7,37.2479,-93.1709,MO,Greene,America/Chicago,6.0
737,Meramec,2104,4384102.98,7,38.4017,-90.3358,MO,Saint Louis,America/Chicago,6.0
738,Mexico,6650,787.08,7,39.1481,-91.8306,MO,Audrain,America/Chicago,6.0
739,Moberly,6651,1621.57,7,39.4244,-92.4837,MO,Randolph,America/Chicago,6.0
740,Montrose,2080,1958396.73,7,38.3108,-93.9331,MO,Henry,America/Chicago,6.0
741,Moreau,6652,1080.41,7,38.5553,-92.102,MO,Cole,America/Chicago,6.0
742,New Madrid Power Plant,2167,7961838.51,7,36.5147,-89.5617,MO,New Madrid,America/Chicago,6.0
743,Nodaway Power Plant,7754,19405.8,7,40.2877,-94.7913,MO,Nodaway,America/Chicago,6.0
744,Northeast Generating Station,2081,1421.6,7,39.1231,-94.5605,MO,Jackson,America/Chicago,6.0
745,Peno Creek Energy Center,7964,83546.55,7,39.3531,-91.2295,MO,Pike,America/Chicago,6.0
746,Ralph Green Station,2092,483.01,7,38.7865,-94.2768,MO,Cass,America/Chicago,6.0
747,Rush Island,6155,8552038.52,7,38.1306,-90.2625,MO,Jefferson,America/Chicago,6.0
748,Sibley,2094,2335710.58,7,39.1778,-94.1861,MO,Jackson,America/Chicago,6.0
749,Sikeston,6768,1678592.8,7,36.8791,-89.6209,MO,Scott,America/Chicago,6.0
750,Sioux,2107,5329154.09,7,38.9158,-90.2917,MO,Saint Charles,America/Chicago,6.0
751,South Harper Peaking Facility,56151,144473.05,7,38.6803,-94.4824,MO,Cass,America/Chicago,6.0
752,St. Francis Power Plant,7604,1239314.98,7,36.5852,-90.1779,MO,Dunklin,America/Chicago,6.0
753,State Line (MO),7296,1786781.82,7,37.0659,-94.61399999999999,MO,Jasper,America/Chicago,6.0
754,Thomas Hill Energy Center,2168,7507337.31,7,39.5531,-92.6392,MO,Randolph,America/Chicago,6.0
755,Ackerman Combined Cycle,55694,3059167.51,4,33.3806,-89.2039,MS,Choctaw,America/Chicago,6.0
756,Attala Generating Plant,55220,1219394.65,4,33.0142,-89.6758,MS,Attala,America/Chicago,6.0
757,Batesville Generation Facility,55063,3219330.98,4,34.3345,-89.9272,MS,Panola,America/Chicago,6.0
758,Baxter Wilson,2050,2954956.33,4,32.2831,-90.9306,MS,Warren,America/Chicago,6.0
759,Caledonia,55197,4621178.5,4,33.6464,-88.2717,MS,Lowndes,America/Chicago,6.0
760,Chevron Cogenerating Station,2047,610059.25,4,30.34,-88.492,MS,Jackson,America/Chicago,6.0
761,Choctaw County Gen,55706,568639.99,4,33.2881,-89.4201,MS,Choctaw,America/Chicago,6.0
762,Crossroads Energy Center (CPU),55395,86353.9,4,34.183,-90.5621,MS,Coahoma,America/Chicago,6.0
763,Daniel Electric Generating Plant,6073,7194477.5,4,30.5335,-88.5574,MS,Jackson,America/Chicago,6.0
764,Delta,2051,,4,33.7947,-90.7139,MS,Bolivar,America/Chicago,6.0
765,Gerald Andrus,8054,1478678.86,4,33.3503,-91.1181,MS,Washington,America/Chicago,6.0
766,Hinds Energy Facility,55218,559006.69,4,32.3781,-90.2169,MS,Hinds,America/Chicago,6.0
767,Kemper County,7960,329240.11,4,32.7976,-88.6057,MS,Kemper,America/Chicago,6.0
768,Magnolia Facility,55451,4636130.53,4,34.8358,-89.2017,MS,Benton,America/Chicago,6.0
769,Moselle Generating Plant,2070,839799.97,4,31.5289,-89.2992,MS,Jones,America/Chicago,6.0
770,R D Morrow Senior Generating Plant,6061,1198420.9,4,31.2194,-89.3933,MS,Lamar,America/Chicago,6.0
771,Red Hills Generation Facility,55076,,4,33.3761,-89.2183,MS,Choctaw,America/Chicago,6.0
772,Rex Brown,2053,184297.85,4,32.3564,-90.2125,MS,Hinds,America/Chicago,6.0
773,Silver Creek Generating Plant,7988,30868.3,4,31.6004,-89.9468,MS,Jefferson Davis,America/Chicago,6.0
774,Southaven Combined Cycle,55269,4448541.92,4,34.9939,-90.039,MS,DeSoto,America/Chicago,6.0
775,Sweatt Electric Generating Plant,2048,1096.75,4,32.2925,-88.7461,MS,Lauderdale,America/Chicago,6.0
776,Sylvarena Generating Plant,7989,64977.38,4,31.9842,-89.4131,MS,Smith,America/Chicago,6.0
777,Watson Electric Generating Plant,2049,2118466.35,4,30.4408,-89.0265,MS,Harrison,America/Chicago,6.0
778,Colstrip,6076,13503507.7,8,45.8831,-106.61399999999999,MT,Rosebud,America/Denver,7.0
779,Culbertson Station,56606,66678.85,8,48.2104,-104.3919,MT,Roosevelt,America/Denver,7.0
780,Glendive Generating Station,2176,8826.52,8,47.0539,-104.74,MT,Dawson,America/Denver,7.0
781,Hardin Generating Station,55749,526554.69,8,45.7578,-107.6,MT,Big Horn,America/Denver,7.0
782,J E Corette,2187,765068.06,8,45.7747,-108.4803,MT,Yellowstone,America/Denver,7.0
783,Lewis & Clark,6089,277381.69,8,47.6788,-104.1569,MT,Richland,America/Denver,7.0
784,Mill Creek Generating Station,56908,360768.37,8,46.1066,-112.8755,MT,Deer Lodge,America/Denver,7.0
785,Asheville,2706,2252357.4,4,35.4714,-82.5431,NC,Buncombe,America/New_York,5.0
786,Belews Creek,8042,14766539.8,4,36.2811,-80.0603,NC,Stokes,America/New_York,5.0
787,Blewett,2707,0.0,4,34.9815,-79.8771,NC,Anson,America/New_York,5.0
788,Blue Ridge Paper Products Inc.,50244,,4,35.535,-82.8411,NC,Haywood,America/New_York,5.0
789,Buck,2720,4486002.13,4,35.7133,-80.3767,NC,Rowan,America/New_York,5.0
790,Butler-Warner Generation Plant,1016,26312.0,4,35.0986,-78.8294,NC,Cumberland,America/New_York,5.0
791,CPI USA North Carolina Roxboro,10379,,4,36.435,-78.9619,NC,Person,America/New_York,5.0
792,CPI USA North Carolina Southport,10378,,4,33.9444,-78.0125,NC,Brunswick,America/New_York,5.0
793,Cape Fear,2708,524533.75,4,35.595,-79.0492,NC,Chatham,America/New_York,5.0
794,Cleveland County Generating Facility,57029,26980.0,4,35.1706,-81.4161,NC,Cleveland,America/New_York,5.0
795,Cliffside,2721,1462393.87,4,35.22,-81.7594,NC,Cleveland,America/New_York,5.0
796,Coastal Carolina Clean Power LLC,10381,,4,35.0225,-77.8575,NC,Duplin,America/New_York,5.0
797,Craven County Wood Energy,10525,412255.36,4,35.1285,-77.17,NC,Craven,America/New_York,5.0
798,Dan River,2723,110118.42,4,36.4862,-79.7208,NC,Rockingham,America/New_York,5.0
799,"Edgecombe Genco, LLC",10384,,4,36.0378,-77.7542,NC,Edgecombe,America/New_York,5.0
800,G G Allen,2718,2206904.48,4,35.1897,-81.0122,NC,Gaston,America/New_York,5.0
801,H F Lee Steam Electric Plant,2709,1739423.13,4,35.3775,-78.0875,NC,Wayne,America/New_York,5.0
802,KapStone Paper and Packaging Corp,50254,,4,36.4769,-77.6414,NC,Halifax,America/New_York,5.0
803,L V Sutton,2713,1376962.75,4,34.2824,-77.9864,NC,New Hanover,America/New_York,5.0
804,Lincoln,7277,35822.37,4,35.4317,-81.0347,NC,Lincoln,America/New_York,5.0
805,Marshall,2727,10240007.05,4,35.5975,-80.9658,NC,Catawba,America/New_York,5.0
806,Mayo,6250,,4,36.5278,-78.8917,NC,Person,America/New_York,5.0
807,NC Renewable Power - Elizabethtown,10380,,4,34.6474,-78.6407,NC,Bladen,America/New_York,5.0
808,NC Renewable Power - Lumberton LLC,10382,,4,34.59,-78.9968,NC,Robeson,America/New_York,5.0
809,NCEMC Anson Plant,56249,298334.44,4,34.9708,-79.9208,NC,Anson,America/New_York,5.0
